Analog,Analytics,Data,Technology,Bank Name
3,3,2,2,ally_financial_inc
3,2,4,3,american_express_company
3,1,2,2,ameriprise_financial_inc
3,3,2,1,associated_banc-corp
4,4,3,2,bank_of_america_corp
2,2,1,1,"bank_of_new_york_mellon,_the"
3,2,1,1,bok_financial_corporation
3,4,4,3,capital_one_financial_corporation
3,2,3,2,"charles_schwab_corporation,_the"
3,4,2,2,citigroup_inc
3,3,2,2,"citizens_financial_group,_inc"
1,2,2,1,"columbia_banking_system,_inc"
3,3,3,2,comerica_incorporated
2,3,1,1,cullen_frost
4,5,3,2,discover_financial_services
3,3,1,5,"east_west_bancorp,_inc"
4,3,3,1,f.n.b._corporation
2,2,1,2,fifth_third_bancorp
4,3,3,1,"first_citizens_bancshares,_inc"
2,3,2,4,first_horizon_corporation
1,2,2,2,"flagstar_financial,_inc"
5,5,5,3,"goldman_sachs_group,_inc.,_the"
4,5,2,2,hsbc_north_america_holdings_inc
3,3,2,1,huntington_bancshares_incorporated
3,3,5,3,john_deere_capital_corporation
4,4,3,2,jpmorgan_chase_&_co
3,3,3,2,keycorp
1,2,1,1,m&t_bank_corporation
3,2,2,2,morgan_stanley
2,1,3,2,northern_trust_corporation
3,3,3,1,old_national_bancorp
2,2,2,1,"pinnacle_financial_partners,_inc"
2,2,3,2,"pnc_financial_services_group,_inc.,_the"
1,3,2,1,"popular,_inc"
2,5,2,1,"prosperity_bancshares,_inc"
3,3,4,2,"raymond_james_financial,_inc"
3,3,2,1,regions_financial_corporation
3,2,2,2,"santander_holdings_usa,_inc"
2,2,2,2,southstate_corporation
4,3,4,2,state_street_corporation
4,3,3,3,synchrony_financial
3,2,2,3,synovus_financial_corp
3,3,3,2,truist_financial_corporation
3,4,3,1,u.s._bancorp
2,2,2,1,umb_financial_corporation
2,2,2,2,valley_national_bancorp
2,2,2,1,webster_financial_corporation
3,4,1,1,wells_fargo_&_company
2,2,1,1,western_alliance_bancorporation
2,1,3,2,wintrust_financial_corporation
