,,,,
File Name,Folder,Subfolder,Text Content,Type
10-K_2020-02-27_Management_Discussion_&_Analysis_(MD&A).txt,"bank_of_new_york_mellon_corporation,_the",2020," ITEM 7. MANAGEMENT&#8217;S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS 

The information required by this Item is set forth in the MD&#38;A and Notes 3, 6, 12, 14, 19, 22 and 23 of the Notes to Consolidated Financial Statements in the Annual Report, which portions are incorporated herein by reference. 

",MD&A
10-K_2021-02-25_Management_Discussion_&_Analysis_(MD&A).txt,"bank_of_new_york_mellon_corporation,_the",2021," ITEM 7. MANAGEMENT&#8217;S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS 

The information required by this Item is set forth in the MD&#38;A and Notes 3, 6, 12, 14, 19, 22 and 23 of the Notes to Consolidated Financial Statements in the Annual Report, which portions are incorporated herein by reference. 

",MD&A
10-K_2022-02-25_Management_Discussion_&_Analysis_(MD&A).txt,"bank_of_new_york_mellon_corporation,_the",2022," ITEM 7. MANAGEMENT&#8217;S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS 

The information required by this Item is set forth in the MD&#38;A and Notes 3, 6, 12, 14, 19, 22 and 23 of the Notes to Consolidated Financial Statements in the Annual Report, which portions are incorporated herein by reference. 

",MD&A
10-K_2023-02-27_Management_Discussion_&_Analysis_(MD&A).txt,"bank_of_new_york_mellon_corporation,_the",2023," ITEM 7. MANAGEMENT&#8217;S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS 

The information required by this Item is set forth in the MD&#38;A and Notes 3, 6, 12, 14, 19, 22 and 23 of the Notes to Consolidated Financial Statements in the Annual Report, which portions are incorporated herein by reference. 

",MD&A
10-K_2024-02-28_Management_Discussion_&_Analysis_(MD&A).txt,"bank_of_new_york_mellon_corporation,_the",2024," ITEM 7. MANAGEMENT&#8217;S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS 

The information required by this Item is set forth in the MD&#38;A and Notes 3, 6, 12, 14, 19, 22 and 23 of the Notes to Consolidated Financial Statements in the Annual Report, which portions are incorporated herein by reference. 

",MD&A
10-K_2020-02-26_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"charles_schwab_corporation,_the",2020," Item 7A. Quantitative and Qualitative Disclosures About Market Risk 

For a discussion of the quantitative and qualitative disclosures about market risk, see Risk Management in Part II, Item 7. 

&#3839; 

- 55 - 

THE CHARLES SCHWAB CORPORATION 

##TABLE_START ",Q&Q
10-K_2021-02-24_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"charles_schwab_corporation,_the",2021," Item 7A. Quantitative and Qualitative Disclosures About Market Risk 

For a discussion of the quantitative and qualitative disclosures about market risk, see Risk Management in Part II, Item 7. 

- 63 - 

THE CHARLES SCHWAB CORPORATION 

",Q&Q
10-K_2022-02-24_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"charles_schwab_corporation,_the",2022," Item 7A. Quantitative and Qualitative Disclosures About Market Risk 

For a discussion of the quantitative and qualitative disclosures about market risk, see Risk Management in Part II, Item 7. 

- 59 - 

",Q&Q
10-K_2023-02-24_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"charles_schwab_corporation,_the",2023," Item 7A. Quantitative and Qualitative Disclosures About Market Risk 

For a discussion of the quantitative and qualitative disclosures about market risk, see Risk Management in Part II, Item 7. 

- 62 - 

",Q&Q
10-K_2024-02-23_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"charles_schwab_corporation,_the",2024," Item 7A. Quantitative and Qualitative Disclosures About Market Risk 

For a discussion of the quantitative and qualitative disclosures about market risk, see Risk Management in Part II &#8211; Item 7. 

- 64 - 

THE CHARLES SCHWAB CORPORATION 

",Q&Q
10-K_2023-02-17_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"citizens_financial_group,_inc",2023," ITEM 7A. QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK 

Quantitative and qualitative disclosures about market risk are presented in the &#8220;Market Risk&#8221; section of Part II, Item 7 and is incorporated herein by reference. 

##TABLE_START Citizens Financial Group, Inc. | 78 

##TABLE_END

",Q&Q
10-K_2024-02-16_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,"citizens_financial_group,_inc",2024," ITEM 7A. QUANTITATIVE AND QUALITATIVE DISCLOSURES ABOUT MARKET RISK 

Quantitative and qualitative disclosures about market risk are presented in the &#8220;Market Risk&#8221; section of Part II, Item 7 and is incorporated herein by reference. 

##TABLE_START Citizens Financial Group, Inc. | 77 

##TABLE_END

",Q&Q
10-K_2020-02-11_Management_Discussion_&_Analysis_(MD&A).txt,comerica_incorporated,2020," Item 7. Management&#8217;s Discussion and Analysis of Financial Condition and Results of Operations. 

Reference is made to the sections entitled &#8220;2019 Overview and 2020 Outlook,&#8221; &#8220;Results of Operations,"" ""Strategic Lines of Business,"" ""Balance Sheet and Capital Funds Analysis,"" ""Risk Management,"" ""Critical Accounting Policies,"" ""Supplemental Financial Data"" and ""Forward-Looking Statements"" on pages F-4 through F-39 of the Financial Section of this report. 

",MD&A
10-K_2020-02-11_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,comerica_incorporated,2020," Item 7A. Quantitative and Qualitative Disclosures About Market Risk. 

Reference is made to the subheadings entitled &#8220;Market and Liquidity Risk,&#8221; &#8220;Operational Risk,&#8221; ""Technology Risk,"" &#8220;Compliance Risk&#8221; and &#8220;Strategic Risk&#8221; on pages F-28 through F-33 of the Financial Section of this report. 

",Q&Q
10-K_2021-02-09_Management_Discussion_&_Analysis_(MD&A).txt,comerica_incorporated,2021," Item 7. Management&#8217;s Discussion and Analysis of Financial Condition and Results of Operations. 

Reference is made to the sections entitled &#8220;2020 Overview,&#8221; &#8220;Results of Operations,"" ""First Quarter 2021 Outlook,"" ""Strategic Lines of Business and Markets,"" ""Balance Sheet and Capital Funds Analysis,"" ""Risk Management,"" ""Critical Accounting Policies,"" ""Supplemental Financial Data"" and ""Forward-Looking Statements"" on pages F-4 through F-46 of the Financial Section of this report. 

",MD&A
10-K_2021-02-09_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,comerica_incorporated,2021," Item 7A. Quantitative and Qualitative Disclosures About Market Risk. 

Reference is made to the subheadings entitled &#8220;Market and Liquidity Risk,&#8221; &#8220;Operational Risk,&#8221; ""Technology Risk,"" &#8220;Compliance Risk&#8221; and &#8220;Strategic Risk&#8221; on pages F-33 through F-38 of the Financial Section of this report. 

",Q&Q
10-K_2022-02-16_Management_Discussion_&_Analysis_(MD&A).txt,comerica_incorporated,2022," Item 7. Management&#8217;s Discussion and Analysis of Financial Condition and Results of Operations. 

Reference is made to the sections entitled &#8220;2021 Overview,&#8221; &#8220;Results of Operations,"" ""Strategic Lines of Business,"" ""Balance Sheet and Capital Funds Analysis,"" ""Risk Management,"" ""Critical Accounting Estimates,"" ""Supplemental Financial Data"" and ""Forward-Looking Statements"" on pages F-3 through F-40 of the Financial Section of this report. 

",MD&A
10-K_2022-02-16_Quantitative_&_Qualitative_Disclosures_About_Market_Risk.txt,comerica_incorporated,2022," Item 7A. Quantitative and Qualitative Disclosures About Market Risk. 

Reference is made to the subheadings entitled &#8220;Market and Liquidity Risk,&#8221; &#8220;Operational Risk,&#8221; ""Technology Risk,"" &#8220;Compliance Risk&#8221; and &#8220;Strategic Risk&#8221; on pages F-27 through F-33 of the Financial Section of this report. 

",Q&Q
