bank_name,sub_category,presence_score,normalized_maturity_score,strategic_score,final_score,final_score_rounded
ally_financial_inc,Data,2,2.502,3.580235915161066,2.516847183032213,2.52
american_express_company,Data,4,4.218,4.668403319789265,4.220880663957853,4.22
ameriprise_financial_inc,Data,2,3.953,1.0,2.5812,2.58
associated_banc-corp,Data,2,2.274,1.124617679295347,1.9345235358590696,1.93
bank_of_america_corp,Data,3,2.186,4.918069434271059,3.058013886854212,3.06
"bank_of_new_york_mellon,_the",Data,1,2.438,1.5787851530770585,1.6909570306154116,1.69
bok_financial_corporation,Data,1,2.375,1.3177378525868326,1.6135475705173667,1.61
capital_one_financial_corporation,Data,4,1.934,2.5726303438019076,2.8881260687603816,2.89
"charles_schwab_corporation,_the",Data,3,2.022,2.73620469466929,2.556040938933858,2.56
citigroup_inc,Data,2,2.83,2.177945059803166,2.3675890119606335,2.37
"citizens_financial_group,_inc",Data,2,2.729,2.3124403030321306,2.3540880606064265,2.35
"columbia_banking_system,_inc",Data,2,1.845,1.5662007464114691,1.8512401492822939,1.85
comerica_incorporated,Data,3,4.293,2.706097296122265,3.4584194592244533,3.46
cullen_frost,Data,1,1.946,1.6291945644198242,1.5042389128839648,1.5
discover_financial_services,Data,3,1.328,3.377054592389065,2.4066109184778135,2.41
"east_west_bancorp,_inc",Data,1,2.413,2.2894777005296247,1.823095540105925,1.82
f.n.b._corporation,Data,3,2.716,2.4594009590481702,2.7782801918096345,2.78
fifth_third_bancorp,Data,1,2.502,1.544421351425052,1.7096842702850101,1.71
"first_citizens_bancshares,_inc",Data,3,1.795,1.7344387943261896,2.264887758865238,2.26
first_horizon_corporation,Data,2,3.372,2.9144687126422815,2.7316937425284564,2.73
"flagstar_financial,_inc",Data,2,2.388,1.9833096671628756,2.151861933432575,2.15
"goldman_sachs_group,_inc.,_the",Data,5,5.0,5.0,5.0,5.0
hsbc_north_america_holdings_inc,Data,2,2.489,2.963448905783511,2.3882897811567023,2.39
huntington_bancshares_incorporated,Data,2,2.174,2.969920533869195,2.263584106773839,2.26
john_deere_capital_corporation,Data,5,1.972,2.0558102574641217,3.1999620514928244,3.2
jpmorgan_chase_&_co,Data,3,2.603,4.749290938927125,3.191058187785425,3.19
keycorp,Data,3,1.568,5.0,2.8272000000000004,2.83
m&t_bank_corporation,Data,1,2.06,1.5160972482452166,1.5272194496490434,1.53
morgan_stanley,Data,2,1.265,1.7862815327492148,1.663256306549843,1.66
northern_trust_corporation,Data,3,2.211,1.0230226354502252,2.289004527090045,2.29
old_national_bancorp,Data,3,1.883,2.4639934795486713,2.4459986959097346,2.45
