document_id,filename,full_path,bank_name,source_type,document_type,word_count,global_normalized,within_type_normalized
jpmorgan_chase_&_co_2022_Q1,jpmorgan_chase_&_co_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/jpmorgan_chase_&_co_2022_Q1.txt,jpmorgan,News,News Article,5054,0.35835253144998186,2.64530917229181
citigroup_inc_2022_Q1,citigroup_inc_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/citigroup_inc_2022_Q1.txt,citigroup,News,News Article,3767,0.26709813731145265,1.9716817673176192
"bank_of_new_york_mellon_corporation,_the_2022_Q1","bank_of_new_york_mellon_corporation,_the_2022_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/bank_of_new_york_mellon_corporation,_the_2022_Q1.txt",bank,News,News Article,548,0.03885579486240405,0.2868281413565318
wells_fargo_&_company_2022_Q1,wells_fargo_&_company_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/wells_fargo_&_company_2022_Q1.txt,wells,News,News Article,2928,0.20760906452029027,1.5325416019925642
discover_financial_services_2022_Q1,discover_financial_services_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/discover_financial_services_2022_Q1.txt,discover,News,News Article,486,0.034459701283080964,0.2543767822979461
ally_financial_inc_2022_Q1,ally_financial_inc_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/ally_financial_inc_2022_Q1.txt,ally,News,News Article,422,0.029921798233457135,0.22087860520521244
bank_of_america_corporation_2022_Q1,bank_of_america_corporation_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/bank_of_america_corporation_2022_Q1.txt,bank,News,News Article,687,0.04871155304830581,0.35958199472981267
"goldman_sachs_group,_inc.,_the_2022_Q1","goldman_sachs_group,_inc.,_the_2022_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/goldman_sachs_group,_inc.,_the_2022_Q1.txt",goldman,News,News Article,954,0.06764311733345522,0.49933220228856084
capital_one_financial_corporation_2022_Q1,capital_one_financial_corporation_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/capital_one_financial_corporation_2022_Q1.txt,capital,News,News Article,2932,0.20789268346089174,1.5346352380608599
u.s._bancorp_2022_Q2,u.s._bancorp_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/u.s._bancorp_2022_Q2.txt,u.s.,News,News Article,178,0.012621042856766278,0.09316680503916544
jpmorgan_chase_&_co_2022_Q2,jpmorgan_chase_&_co_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/jpmorgan_chase_&_co_2022_Q2.txt,jpmorgan,News,News Article,2731,0.1936408316956669,1.4294300256289934
state_street_corporation_2022_Q2,state_street_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/state_street_corporation_2022_Q2.txt,state,News,News Article,1151,0.08161135015807858,0.6024437786521316
citigroup_inc_2022_Q2,citigroup_inc_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/citigroup_inc_2022_Q2.txt,citigroup,News,News Article,794,0.05629835970939565,0.41558675955672675
"bank_of_new_york_mellon_corporation,_the_2022_Q2","bank_of_new_york_mellon_corporation,_the_2022_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/bank_of_new_york_mellon_corporation,_the_2022_Q2.txt",bank,News,News Article,454,0.03219074975826905,0.23762769375157927
wells_fargo_&_company_2022_Q2,wells_fargo_&_company_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/wells_fargo_&_company_2022_Q2.txt,wells,News,News Article,4679,0.3317632557685922,2.4490307908890734
morgan_stanley_2022_Q2,morgan_stanley_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/morgan_stanley_2022_Q2.txt,morgan,News,News Article,763,0.054100312919734106,0.39936108002743387
truist_financial_corporation_2022_Q2,truist_financial_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/truist_financial_corporation_2022_Q2.txt,truist,News,News Article,549,0.038926699597554425,0.28735155037360577
bank_of_america_corporation_2022_Q2,bank_of_america_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/bank_of_america_corporation_2022_Q2.txt,bank,News,News Article,534,0.03786312857029884,0.2795004151174963
