document_id,filename,full_path,bank_name,source_type,document_type,word_count
jpmorgan_chase_&_co_2022_Q1,jpmorgan_chase_&_co_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/jpmorgan_chase_&_co_2022_Q1.txt,jpmorgan,News,News Article,5054
citigroup_inc_2022_Q1,citigroup_inc_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/citigroup_inc_2022_Q1.txt,citigroup,News,News Article,3767
"bank_of_new_york_mellon_corporation,_the_2022_Q1","bank_of_new_york_mellon_corporation,_the_2022_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/bank_of_new_york_mellon_corporation,_the_2022_Q1.txt",bank,News,News Article,548
wells_fargo_&_company_2022_Q1,wells_fargo_&_company_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/wells_fargo_&_company_2022_Q1.txt,wells,News,News Article,2928
discover_financial_services_2022_Q1,discover_financial_services_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/discover_financial_services_2022_Q1.txt,discover,News,News Article,486
ally_financial_inc_2022_Q1,ally_financial_inc_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/ally_financial_inc_2022_Q1.txt,ally,News,News Article,422
bank_of_america_corporation_2022_Q1,bank_of_america_corporation_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/bank_of_america_corporation_2022_Q1.txt,bank,News,News Article,687
"goldman_sachs_group,_inc.,_the_2022_Q1","goldman_sachs_group,_inc.,_the_2022_Q1.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/goldman_sachs_group,_inc.,_the_2022_Q1.txt",goldman,News,News Article,954
capital_one_financial_corporation_2022_Q1,capital_one_financial_corporation_2022_Q1.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q1/capital_one_financial_corporation_2022_Q1.txt,capital,News,News Article,2932
u.s._bancorp_2022_Q2,u.s._bancorp_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/u.s._bancorp_2022_Q2.txt,u.s.,News,News Article,178
jpmorgan_chase_&_co_2022_Q2,jpmorgan_chase_&_co_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/jpmorgan_chase_&_co_2022_Q2.txt,jpmorgan,News,News Article,2731
state_street_corporation_2022_Q2,state_street_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/state_street_corporation_2022_Q2.txt,state,News,News Article,1151
citigroup_inc_2022_Q2,citigroup_inc_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/citigroup_inc_2022_Q2.txt,citigroup,News,News Article,794
"bank_of_new_york_mellon_corporation,_the_2022_Q2","bank_of_new_york_mellon_corporation,_the_2022_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/bank_of_new_york_mellon_corporation,_the_2022_Q2.txt",bank,News,News Article,454
wells_fargo_&_company_2022_Q2,wells_fargo_&_company_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/wells_fargo_&_company_2022_Q2.txt,wells,News,News Article,4679
morgan_stanley_2022_Q2,morgan_stanley_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/morgan_stanley_2022_Q2.txt,morgan,News,News Article,763
truist_financial_corporation_2022_Q2,truist_financial_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/truist_financial_corporation_2022_Q2.txt,truist,News,News Article,549
bank_of_america_corporation_2022_Q2,bank_of_america_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/bank_of_america_corporation_2022_Q2.txt,bank,News,News Article,534
capital_one_financial_corporation_2022_Q2,capital_one_financial_corporation_2022_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/capital_one_financial_corporation_2022_Q2.txt,capital,News,News Article,1352
"goldman_sachs_group,_inc.,_the_2022_Q2","goldman_sachs_group,_inc.,_the_2022_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q2/goldman_sachs_group,_inc.,_the_2022_Q2.txt",goldman,News,News Article,9954
"ameriprise_financial,_inc_2022_Q4","ameriprise_financial,_inc_2022_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2022/Q4/ameriprise_financial,_inc_2022_Q4.txt",ameriprise,News,News Article,1488
