bank_name,subcategory,total_hits,raw_base_score,raw_scaled_score,total_documents,normalized_base_score,normalized_scaled_score
ally_financial_inc,Analog,10401,44160.0,44160.0,56,3.740336033706133,3.740336033706133
ally_financial_inc,Analytics,6639,30180.0,30180.0,55,3.184756172966734,3.184756172966734
ally_financial_inc,Data,812,3364.0,3364.0,53,2.2183852140077818,2.2183852140077818
ally_financial_inc,Technology,517,1973.0,1973.0,51,2.7153825061694543,2.7153825061694543
american_express_company,Analog,10266,36627.0,36627.0,58,3.2242622501584255,3.2242622501584255
american_express_company,Analytics,5924,24223.0,24223.0,58,2.693639474009646,2.693639474009646
american_express_company,Data,1713,6030.0,6030.0,56,3.515077821011673,3.515077821011673
american_express_company,Technology,799,2798.0,2798.0,52,3.620235810255004,3.620235810255004
ameriprise_financial_inc,Analog,4048,10052.0,10052.0,57,1.4036514977649135,1.4036514977649135
ameriprise_financial_inc,Analytics,1594,4319.0,4319.0,57,1.0526814790387073,1.0526814790387073
ameriprise_financial_inc,Data,422,859.0,859.0,36,1.0,1.0
ameriprise_financial_inc,Technology,216,459.0,459.0,39,1.054839594187003,1.054839594187003
associated_banc-corp,Analog,7959,26163.0,26163.0,58,2.5073903437409015,2.5073903437409015
associated_banc-corp,Analytics,4761,17946.0,17946.0,58,2.17614081371862,2.17614081371862
associated_banc-corp,Data,672,1455.0,1455.0,56,1.2898832684824904,1.2898832684824904
associated_banc-corp,Technology,288,636.0,636.0,54,1.2489717576089938,1.2489717576089938
bank_of_america_corp,Analog,15447,62547.0,62547.0,63,5.0,5.0
bank_of_america_corp,Analytics,10967,48913.0,48913.0,63,4.7291726781812935,4.7291726781812935
bank_of_america_corp,Data,1791,6312.0,6312.0,55,3.652237354085603,3.652237354085603
bank_of_america_corp,Technology,754,2618.0,2618.0,53,3.422813271181793,3.422813271181793
"bank_of_new_york_mellon,_the",Analog,5623,20900.0,20900.0,52,2.1468306301060167,2.1468306301060167
"bank_of_new_york_mellon,_the",Analytics,3395,14845.0,14845.0,50,1.9204831196669279,1.9204831196669279
"bank_of_new_york_mellon,_the",Data,381,1131.0,1131.0,48,1.132295719844358,1.132295719844358
"bank_of_new_york_mellon,_the",Technology,315,807.0,807.0,42,1.4365231697285439,1.4365231697285439
bok_financial_corporation,Analog,6359,23101.0,23101.0,52,2.297617620360697,2.297617620360697
bok_financial_corporation,Analytics,3329,12760.0,12760.0,53,1.7485881528504885,1.7485881528504885
bok_financial_corporation,Data,409,1034.0,1034.0,49,1.0851167315175096,1.0851167315175096
bok_financial_corporation,Technology,197,409.0,409.0,37,1.0,1.0
capital_one_financial_corporation,Analog,8547,29925.0,29925.0,61,2.7651189477109632,2.7651189477109632
